WL	QE	DSig	MSig	Mcorr	DSD	MSD	RSD	GC
1190	8.15E-01	2.89E-03	2.38E-01	9.98E-01	1.29	0.19	1.114	CA-B-3
1195	8.29E-01	2.43E-03	1.98E-01	9.96E-01	2.405	0.091	2.364	CA-B-3
1200	8.64E-01	2.15E-03	1.70E-01	9.96E-01	1.618	0.124	1.501	CA-B-3
end data
Monitor Corrections:  On
Light Bias:  0.0 mA
Voltage Bias:  0.00
Chopping Speed:  119.96
Sync Waveform:  Sine 
Jsc:  36.52
Device ID:  
